predator	prey	Robustness
1.0	1.0	-34.56725
1.0	25.75	-19.466244
1.0	50.5	-18.009182
1.0	75.25	-21.044098
1.0	100.0	-18.850346
25.75	1.0	-21.049755
25.75	25.75	16.795328
25.75	50.5	10.572111
25.75	75.25	14.168808
25.75	100.0	19.647594
50.5	1.0	-19.198997
50.5	25.75	10.360058
50.5	50.5	-9.73011
50.5	75.25	6.223015
50.5	100.0	15.875076
75.25	1.0	-21.214705
75.25	25.75	14.668173
75.25	50.5	6.5127907
75.25	75.25	11.50219
75.25	100.0	17.528667
100.0	1.0	-22.189083
100.0	25.75	19.496168
100.0	50.5	15.529078
100.0	75.25	17.826412
100.0	100.0	21.686539
