predator	prey	Robustness
1.0	1.0	-34.56725
1.0	1.3867188	-30.52324
1.0	1.7734375	-28.255554
1.0	2.1601562	-26.742638
1.0	2.546875	-25.083838
1.0	2.9335938	-21.699148
1.0	3.3203125	-21.969257
1.0	3.7070312	-28.075615
1.0	4.09375	-25.482426
1.0	4.4804688	-29.351515
1.0	4.8671875	-26.919483
1.0	5.2539062	-28.60324
1.0	5.640625	-27.292055
1.0	6.0273438	-26.153519
1.0	6.4140625	-24.721718
1.0	6.8007812	-25.57595
1.0	7.1875	-28.487402
1.0	7.5742188	-26.006462
1.0	7.9609375	-23.691254
1.0	8.347656	-22.677486
1.0	8.734375	-23.04314
1.0	9.121094	-27.875368
1.0	9.5078125	-26.966942
1.0	9.894531	-24.726976
1.0	10.28125	-22.015667
1.0	10.667969	-25.402355
1.0	11.0546875	-18.444126
1.0	11.441406	-21.556414
1.0	11.828125	-24.280474
1.0	12.214844	-23.993153
1.0	12.6015625	-21.31859
1.0	12.988281	-22.336605
1.0	13.375	-23.548271
1.0	13.761719	-24.7062
1.0	14.1484375	-25.665161
1.0	14.535156	-17.655922
1.0	14.921875	-24.169632
1.0	15.308594	-23.687843
1.0	15.6953125	-24.684048
1.0	16.082031	-18.761679
1.0	16.46875	-23.349695
1.0	16.855469	-25.360765
1.0	17.242188	-21.898958
1.0	17.628906	-23.071096
1.0	18.015625	-19.265314
1.0	18.402344	-22.449404
1.0	18.789062	-25.835978
1.0	19.175781	-21.317513
1.0	19.5625	-24.665098
1.0	19.949219	-24.126934
1.0	20.335938	-19.315086
1.0	20.722656	-24.783037
1.0	21.109375	-24.93737
1.0	21.496094	-23.362429
1.0	21.882812	-24.004505
1.0	22.269531	-22.752634
1.0	22.65625	-22.480017
1.0	23.042969	-19.675167
1.0	23.429688	-22.839346
1.0	23.816406	-23.088402
1.0	24.203125	-19.557041
1.0	24.589844	-21.66662
1.0	24.976562	-22.284903
1.0	25.363281	-18.959991
1.0	25.75	-19.466244
1.0	26.136719	-17.030582
1.0	26.523438	-20.894012
1.0	26.910156	-21.508104
1.0	27.296875	-21.569317
1.0	27.683594	-20.765615
1.0	28.070312	-20.892424
1.0	28.457031	-20.694862
1.0	28.84375	-20.400145
1.0	29.230469	-21.150574
1.0	29.617188	-19.349371
1.0	30.003906	-19.805477
1.0	30.390625	-21.199516
1.0	30.777344	-19.774246
1.0	31.164062	-18.84954
1.0	31.550781	-19.435823
1.0	31.9375	-20.096317
1.0	32.32422	-21.023193
1.0	32.710938	-20.90023
1.0	33.097656	-20.466537
1.0	33.484375	-20.568115
1.0	33.871094	-21.06857
1.0	34.257812	-19.175388
1.0	34.64453	-19.420609
1.0	35.03125	-19.439976
1.0	35.804688	-20.518593
1.0	36.191406	-18.195105
1.0	36.578125	-18.726965
1.0	36.964844	-19.01376
1.0	37.351562	-19.142445
1.0	37.73828	-20.234413
1.0	38.125	-17.766449
1.0	38.51172	-17.87754
1.0	38.898438	-16.762733
1.0	39.285156	-18.13939
1.0	39.671875	-19.359543
1.0	40.058594	-18.691074
1.0	40.445312	-19.223963
1.0	40.83203	-17.340485
1.0	41.21875	-18.138054
1.0	41.60547	-18.193745
1.0	41.992188	-18.06549
1.0	42.378906	-19.414753
1.0	42.765625	-17.726421
