environment.name, environment.size, iteration, instances, primary, secondary
dist, 1, 1, 1, 5, 4
dist, 1, 2, 1, 12, 21
dist, 1, 3, 2, 40, 62
dist, 1, 4, 6, 96, 202
dist, 1, 5, 10, 133, 229
dist, 1, 6, 27, 459, 817
dist, 1, 7, 83, 1352, 2608
dist, 1, 8, 241, 4119, 7731
dist, 16, 1, 1, 5, 4
dist, 16, 2, 1, 12, 21
dist, 16, 3, 2, 40, 62
dist, 16, 4, 6, 96, 202
dist, 16, 5, 10, 133, 229
dist, 16, 6, 27, 459, 817
dist, 16, 7, 83, 1352, 2608
dist, 16, 8, 241, 4119, 7731
dist, 2, 1, 1, 5, 4
dist, 2, 2, 1, 12, 21
dist, 2, 3, 2, 40, 62
dist, 2, 4, 6, 96, 202
dist, 2, 5, 10, 133, 229
dist, 2, 6, 27, 459, 817
dist, 2, 7, 83, 1352, 2608
dist, 2, 8, 241, 4119, 7731
dist, 4, 1, 1, 5, 4
dist, 4, 2, 1, 12, 21
dist, 4, 3, 2, 40, 62
dist, 4, 4, 6, 96, 202
dist, 4, 5, 10, 133, 229
dist, 4, 6, 27, 459, 817
dist, 4, 7, 83, 1352, 2608
dist, 4, 8, 241, 4119, 7731
dist, 8, 1, 1, 5, 4
dist, 8, 2, 1, 12, 21
dist, 8, 3, 2, 40, 62
dist, 8, 4, 6, 96, 202
dist, 8, 5, 10, 133, 229
dist, 8, 6, 27, 459, 817
dist, 8, 7, 83, 1352, 2608
dist, 8, 8, 241, 4119, 7731
