environment.name, environment.size, iteration, instances, primary, secondary
dist, 1, 1, 1, 1, 5
dist, 1, 2, 1, 2, 12
dist, 1, 3, 2, 6, 40
dist, 1, 4, 8, 32, 144
dist, 1, 5, 29, 145, 510
dist, 1, 6, 87, 522, 1456
dist, 1, 7, 186, 1302, 2959
dist, 1, 8, 430, 3440, 6835
dist, 1, 9, 1025, 9225, 16664
dist, 1, 10, 2586, 25860, 42330
dist, 16, 1, 1, 1, 5
dist, 16, 2, 1, 2, 12
dist, 16, 3, 2, 6, 40
dist, 16, 4, 8, 32, 144
dist, 16, 5, 29, 145, 510
dist, 16, 6, 87, 522, 1456
dist, 16, 7, 186, 1302, 2959
dist, 16, 8, 430, 3440, 6835
dist, 16, 9, 1025, 9225, 16663
dist, 16, 10, 2586, 25860, 42328
dist, 2, 1, 1, 1, 5
dist, 2, 2, 1, 2, 12
dist, 2, 3, 2, 6, 40
dist, 2, 4, 8, 32, 144
dist, 2, 5, 29, 145, 510
dist, 2, 6, 87, 522, 1456
dist, 2, 7, 186, 1302, 2959
dist, 2, 8, 430, 3440, 6835
dist, 2, 9, 1025, 9225, 16664
dist, 2, 10, 2586, 25860, 42330
dist, 4, 1, 1, 1, 5
dist, 4, 2, 1, 2, 12
dist, 4, 3, 2, 6, 40
dist, 4, 4, 8, 32, 144
dist, 4, 5, 29, 145, 510
dist, 4, 6, 87, 522, 1456
dist, 4, 7, 186, 1302, 2959
dist, 4, 8, 430, 3440, 6835
dist, 4, 9, 1025, 9225, 16664
dist, 4, 10, 2586, 25860, 42330
dist, 8, 1, 1, 1, 5
dist, 8, 2, 1, 2, 12
dist, 8, 3, 2, 6, 40
dist, 8, 4, 8, 32, 144
dist, 8, 5, 29, 145, 510
dist, 8, 6, 87, 522, 1456
dist, 8, 7, 186, 1302, 2959
dist, 8, 8, 430, 3440, 6835
dist, 8, 9, 1025, 9225, 16664
dist, 8, 10, 2586, 25860, 42330
