environment.name, environment.size, iteration, instances, primary, secondary
dist, 1, 1, 1, 1, 5
dist, 1, 2, 1, 2, 12
dist, 1, 3, 2, 6, 40
dist, 1, 4, 8, 32, 144
dist, 1, 5, 30, 150, 544
dist, 1, 6, 114, 684, 2049
dist, 1, 7, 434, 3038, 7779
dist, 1, 8, 1623, 12984, 28949
dist, 16, 1, 1, 1, 5
dist, 16, 2, 1, 2, 12
dist, 16, 3, 2, 6, 40
dist, 16, 4, 8, 32, 144
dist, 16, 5, 30, 150, 544
dist, 16, 6, 114, 684, 2049
dist, 16, 7, 434, 3038, 7779
dist, 16, 8, 1623, 12984, 28949
dist, 2, 1, 1, 1, 5
dist, 2, 2, 1, 2, 12
dist, 2, 3, 2, 6, 40
dist, 2, 4, 8, 32, 144
dist, 2, 5, 30, 150, 544
dist, 2, 6, 114, 684, 2049
dist, 2, 7, 434, 3038, 7779
dist, 2, 8, 1623, 12984, 28949
dist, 4, 1, 1, 1, 5
dist, 4, 2, 1, 2, 12
dist, 4, 3, 2, 6, 40
dist, 4, 4, 8, 32, 144
dist, 4, 5, 30, 150, 544
dist, 4, 6, 114, 684, 2049
dist, 4, 7, 434, 3038, 7779
dist, 4, 8, 1623, 12984, 28949
dist, 8, 1, 1, 1, 5
dist, 8, 2, 1, 2, 12
dist, 8, 3, 2, 6, 40
dist, 8, 4, 8, 32, 144
dist, 8, 5, 30, 150, 544
dist, 8, 6, 114, 684, 2049
dist, 8, 7, 434, 3038, 7779
dist, 8, 8, 1623, 12984, 28949
