environment.name, environment.size, iteration, instances, primary, secondary
dist, 16, 1, 1, 1, 17
dist, 16, 2, 4, 8, 64
dist, 16, 3, 15, 45, 355
dist, 16, 4, 60, 240, 2220
dist, 16, 5, 240, 1200, 15319
dist, 16, 6, 959, 5754, 107292
dist, 2, 1, 1, 1, 17
dist, 2, 2, 4, 8, 64
dist, 2, 3, 15, 45, 355
dist, 2, 4, 60, 240, 2220
dist, 2, 5, 240, 1200, 15319
dist, 2, 6, 959, 5754, 107292
dist, 4, 1, 1, 1, 17
dist, 4, 2, 4, 8, 64
dist, 4, 3, 15, 45, 355
dist, 4, 4, 60, 240, 2220
dist, 4, 5, 240, 1200, 15319
dist, 4, 6, 959, 5754, 107292
dist, 8, 1, 1, 1, 17
dist, 8, 2, 4, 8, 64
dist, 8, 3, 15, 45, 355
dist, 8, 4, 60, 240, 2220
dist, 8, 5, 240, 1200, 15319
dist, 8, 6, 959, 5754, 107292
