predator	prey	Robustness
1.0	1.0	-34.56725
1.0	1.7734375	-28.255554
1.0	2.546875	-25.083838
1.0	3.3203125	-21.969257
1.0	4.09375	-25.482426
1.0	4.8671875	-26.919483
1.0	5.640625	-27.292055
1.0	6.4140625	-24.721718
1.0	7.1875	-28.487402
1.0	7.9609375	-23.691254
1.0	8.734375	-23.04314
1.0	9.5078125	-26.966942
1.0	10.28125	-22.015667
1.0	11.0546875	-18.444126
1.0	11.828125	-24.280474
1.0	12.6015625	-21.31859
1.0	13.375	-23.548271
1.0	14.1484375	-25.665161
1.0	14.921875	-24.169632
1.0	15.6953125	-24.684048
1.0	16.46875	-23.349695
1.0	17.242188	-21.898958
1.0	18.015625	-19.265314
1.0	18.789062	-25.835978
1.0	19.5625	-24.665098
1.0	20.335938	-19.315086
1.0	21.109375	-24.93737
1.0	21.882812	-24.004505
1.0	22.65625	-22.480017
1.0	23.429688	-22.839346
1.0	24.203125	-19.557041
1.0	24.976562	-22.284903
1.0	25.75	-19.466244
1.0	26.523438	-20.894012
1.0	27.296875	-21.569317
1.0	28.070312	-20.892424
1.0	28.84375	-20.400145
1.0	29.617188	-19.349371
1.0	30.390625	-21.199516
1.0	31.164062	-18.84954
1.0	31.9375	-20.096317
1.0	32.710938	-20.90023
1.0	33.484375	-20.568115
1.0	34.257812	-19.175388
1.0	35.03125	-19.439976
1.0	35.804688	-20.518593
1.0	36.578125	-18.726965
1.0	37.351562	-19.142445
1.0	38.125	-17.766449
1.0	38.898438	-16.762733
1.0	39.671875	-19.359543
1.0	40.445312	-19.223963
1.0	41.21875	-18.138054
1.0	41.992188	-18.06549
1.0	42.765625	-17.726421
1.0	43.539062	-18.51678
1.0	44.3125	-19.416294
1.0	45.085938	-17.817589
1.0	45.859375	-17.529121
1.0	46.632812	-18.947884
1.0	47.40625	-19.685345
1.0	48.179688	-19.113573
1.0	48.953125	-17.451454
1.0	49.726562	-17.198662
1.0	50.5	-18.009182
1.0	51.273438	-18.279415
1.0	52.046875	-18.779339
1.0	52.820312	-18.39145
1.0	53.59375	-18.843588
1.0	54.367188	-17.554699
1.0	55.140625	-16.310307
1.0	55.914062	-15.748322
1.0	56.6875	-17.953392
1.0	57.460938	-16.665768
1.0	58.234375	-17.362812
1.0	59.007812	-18.7589
1.0	59.78125	-18.328514
1.0	60.554688	-17.879658
1.0	61.328125	-18.933714
1.0	62.101562	-17.572895
1.0	62.875	-18.603489
1.0	63.648438	-17.173698
1.0	64.421875	-18.627062
1.0	65.19531	-16.528454
1.0	65.96875	-20.739134
1.0	67.515625	-20.23937
1.0	68.28906	-20.555819
1.0	69.0625	-19.039753
1.0	69.83594	-20.983047
1.0	70.609375	-20.578773
1.0	71.38281	-20.315355
1.0	72.15625	-19.867748
1.0	72.92969	-21.279526
1.0	73.703125	-19.929642
1.0	75.25	-21.044098
1.0	76.796875	-20.9109
1.0	77.57031	-18.676458
1.0	78.34375	-17.116146
1.0	79.11719	-20.772316
1.0	79.890625	-20.455563
1.0	80.66406	-20.019306
1.0	81.4375	-20.01346
1.0	82.21094	-20.560394
1.0	82.984375	-20.112663
1.0	83.75781	-19.992634
1.0	84.53125	-20.860348
1.0	86.078125	-21.242195
1.0	86.85156	-21.558487
1.0	87.625	-21.378937
1.0	88.39844	-22.556728
1.0	89.171875	-23.238598
1.0	89.94531	-22.063984
1.0	90.71875	-22.98314
1.0	91.49219	-23.362434
1.0	92.265625	-22.389553
1.0	93.03906	-21.40018
1.0	93.8125	-23.800444
1.0	94.58594	-21.716297
1.0	95.359375	-17.891972
1.0	96.13281	-23.515795
1.0	96.90625	-20.026102
1.0	97.67969	-21.401218
1.0	98.453125	-22.015207
1.0	99.22656	-21.46702
1.0	100.0	-18.850346
1.7734375	1.0	-32.56685
1.7734375	1.7734375	-26.755701
1.7734375	2.546875	-27.849728
1.7734375	3.3203125	-27.628677
1.7734375	4.09375	-22.072582
1.7734375	4.8671875	-27.103773
1.7734375	5.640625	-25.24107
1.7734375	6.4140625	-24.324953
1.7734375	7.1875	-20.167877
1.7734375	7.9609375	-22.560627
1.7734375	8.734375	-20.421577
1.7734375	9.5078125	-23.509863
1.7734375	10.28125	-21.920101
1.7734375	11.0546875	-20.88451
1.7734375	11.828125	-21.353252
1.7734375	12.6015625	-21.230862
1.7734375	13.375	-18.194431
1.7734375	14.1484375	-17.757458
1.7734375	14.921875	-16.448673
1.7734375	15.6953125	-17.241016
1.7734375	16.46875	-15.503101
1.7734375	17.242188	-15.03693
1.7734375	18.015625	-14.096886
1.7734375	18.789062	-12.733231
