CaI	IP3	CaS	g	k1	k2	Robustness
0.1	0.05	1100.0	0.0	0.1	0.1	-121.045746
0.1	0.05	1100.0	0.0	0.1	0.2	-121.61229
0.1	0.05	1100.0	0.0	0.125	0.15	-113.448654
0.1	0.05	1100.0	0.0	0.15	0.15	-106.18373
0.1	0.05	1100.0	0.0	0.1625	0.1484375	-102.73737
0.1	0.05	1100.0	0.0	0.1625	0.15	-102.7481
0.1	0.05	1100.0	0.0	0.1625	0.1515625	-102.75898
0.1	0.05	1100.0	0.0	0.175	0.15	-99.43565
0.1	0.05	1100.0	0.0	0.19999999	0.15	-93.15619
0.1	0.05	1100.0	0.0	0.25	0.15	-81.84622
0.1	0.05	1100.0	0.0	0.2625	0.1484375	-79.23929
0.1	0.05	1100.0	0.0	0.2625	0.15	-79.25351
0.1	0.05	1100.0	0.0	0.2625	0.1515625	-79.26815
0.1	0.05	1100.0	0.0	0.27499998	0.15	-76.748024
0.1	0.05	1100.0	0.0	0.29999998	0.15	-71.983116
0.1	0.05	1100.0	0.0	0.325	0.125	-67.269585
0.1	0.05	1100.0	0.0	0.325	0.15	-67.52725
0.1	0.05	1100.0	0.0	0.33749998	0.1234375	-65.114334
0.1	0.05	1100.0	0.0	0.33749998	0.125	-65.129715
0.1	0.05	1100.0	0.0	0.33749998	0.1265625	-65.14464
0.1	0.05	1100.0	0.0	0.33749998	0.1484375	-65.383804
0.1	0.05	1100.0	0.0	0.33749998	0.15	-65.401436
0.1	0.05	1100.0	0.0	0.33749998	0.1515625	-65.419365
0.1	0.05	1100.0	0.0	0.35	0.118750006	-62.857056
0.1	0.05	1100.0	0.0	0.35	0.125	-62.95514
0.1	0.05	1100.0	0.0	0.35	0.13125	-63.04577
0.1	0.05	1100.0	0.0	0.35	0.14375	-63.21945
0.1	0.05	1100.0	0.0	0.35	0.15	-63.30153
0.1	0.05	1100.0	0.0	0.35	0.15625	-63.38793
0.1	0.05	1100.0	0.0	0.35	0.16875	-63.564766
0.1	0.05	1100.0	0.0	0.35	0.17500001	-63.653305
0.1	0.05	1100.0	0.0	0.35	0.18125	-63.742104
0.1	0.05	1100.0	0.0	0.36249998	0.1171875	-0.13521722
0.1	0.05	1100.0	0.0	0.36249998	0.118750006	-0.14471975
0.1	0.05	1100.0	0.0	0.36249998	0.120312504	-0.13927421
0.1	0.05	1100.0	0.0	0.36249998	0.1234375	-0.1529384
0.1	0.05	1100.0	0.0	0.36249998	0.125	-0.16291079
0.1	0.05	1100.0	0.0	0.36249998	0.1265625	-0.16750613
0.1	0.05	1100.0	0.0	0.36249998	0.1296875	-0.17384443
0.1	0.05	1100.0	0.0	0.36249998	0.13125	-0.18440965
0.1	0.05	1100.0	0.0	0.36249998	0.1328125	-0.19053593
0.1	0.05	1100.0	0.0	0.36249998	0.1421875	-0.23437253
0.1	0.05	1100.0	0.0	0.36249998	0.14375	-0.23984942
0.1	0.05	1100.0	0.0	0.36249998	0.1453125	-6.3008976
0.1	0.05	1100.0	0.0	0.36249998	0.1484375	-51.988644
0.1	0.05	1100.0	0.0	0.36249998	0.15	-54.339424
0.1	0.05	1100.0	0.0	0.36249998	0.1515625	-57.360588
0.1	0.05	1100.0	0.0	0.36249998	0.1546875	-58.428963
0.1	0.05	1100.0	0.0	0.36249998	0.15625	-59.063263
0.1	0.05	1100.0	0.0	0.36249998	0.1578125	-60.378227
0.1	0.05	1100.0	0.0	0.36249998	0.16718751	-60.97531
0.1	0.05	1100.0	0.0	0.36249998	0.16875	-61.057976
0.1	0.05	1100.0	0.0	0.36249998	0.1703125	-61.095947
0.1	0.05	1100.0	0.0	0.36249998	0.1734375	-61.21727
0.1	0.05	1100.0	0.0	0.36249998	0.17500001	-61.26947
0.1	0.05	1100.0	0.0	0.36249998	0.1765625	-61.305733
0.1	0.05	1100.0	0.0	0.36249998	0.1796875	-61.397987
0.1	0.05	1100.0	0.0	0.36249998	0.18125	-61.445915
0.1	0.05	1100.0	0.0	0.36249998	0.18281251	-61.496193
0.1	0.05	1100.0	0.0	0.37499997	0.115625	-0.09137878
0.1	0.05	1100.0	0.0	0.37499997	0.1171875	-0.102540106
0.1	0.05	1100.0	0.0	0.37499997	0.118750006	-0.107441634
0.1	0.05	1100.0	0.0	0.37499997	0.120312504	-0.115891784
0.1	0.05	1100.0	0.0	0.37499997	0.121875	-0.12468657
0.1	0.05	1100.0	0.0	0.37499997	0.1234375	-0.119027466
0.1	0.05	1100.0	0.0	0.37499997	0.125	-0.13347521
0.1	0.05	1100.0	0.0	0.37499997	0.1265625	-0.13230792
0.1	0.05	1100.0	0.0	0.37499997	0.128125	-0.14278021
0.1	0.05	1100.0	0.0	0.37499997	0.1296875	-0.15192756
0.1	0.05	1100.0	0.0	0.37499997	0.13125	-0.15255567
0.1	0.05	1100.0	0.0	0.37499997	0.1328125	-0.1524218
0.1	0.05	1100.0	0.0	0.37499997	0.134375	-0.16295221
0.1	0.05	1100.0	0.0	0.37499997	0.140625	-0.1868656
0.1	0.05	1100.0	0.0	0.37499997	0.1421875	-0.1765295
0.1	0.05	1100.0	0.0	0.37499997	0.14375	-0.18383476
0.1	0.05	1100.0	0.0	0.37499997	0.1453125	-0.19130734
0.1	0.05	1100.0	0.0	0.37499997	0.146875	-0.19310233
0.1	0.05	1100.0	0.0	0.37499997	0.1484375	-0.20490602
0.1	0.05	1100.0	0.0	0.37499997	0.15	-0.21453914
0.1	0.05	1100.0	0.0	0.37499997	0.1515625	-0.20876434
