CaI	IP3	CaS	g	C	D	Robustness
0.1	0.05	1100.0	0.0	0.6	1.5	-85.35129
0.1	0.05	1100.0	0.0	0.6	1.515625	-86.045944
0.1	0.05	1100.0	0.0	0.6	1.53125	-86.19995
0.1	0.05	1100.0	0.0	0.6	1.546875	-86.34866
0.1	0.05	1100.0	0.0	0.6	1.5625	-86.49046
0.1	0.05	1100.0	0.0	0.6	1.578125	-86.624214
0.1	0.05	1100.0	0.0	0.6	1.59375	-86.74928
0.1	0.05	1100.0	0.0	0.6	1.609375	-86.865
0.1	0.05	1100.0	0.0	0.6	1.625	-86.97106
0.1	0.05	1100.0	0.0	0.6	1.640625	-87.06742
0.1	0.05	1100.0	0.0	0.6	1.65625	-87.457115
0.1	0.05	1100.0	0.0	0.6	1.671875	-87.52506
0.1	0.05	1100.0	0.0	0.6	1.6875	-87.585304
0.1	0.05	1100.0	0.0	0.6	1.703125	-87.63785
0.1	0.05	1100.0	0.0	0.6	1.71875	-87.68306
0.1	0.05	1100.0	0.0	0.6	1.734375	-87.721535
0.1	0.05	1100.0	0.0	0.6	1.75	-87.753235
0.1	0.05	1100.0	0.0	0.6	1.765625	-87.77869
0.1	0.05	1100.0	0.0	0.6	1.78125	-87.798195
0.1	0.05	1100.0	0.0	0.6	1.796875	-87.81199
0.1	0.05	1100.0	0.0	0.6	1.8125	-87.82041
0.1	0.05	1100.0	0.0	0.6	1.828125	-87.823235
0.1	0.05	1100.0	0.0	0.6	1.84375	-87.82101
0.1	0.05	1100.0	0.0	0.6	1.859375	-88.03674
0.1	0.05	1100.0	0.0	0.6	1.875	-88.021965
0.1	0.05	1100.0	0.0	0.6	1.890625	-88.00255
0.1	0.05	1100.0	0.0	0.6	1.90625	-87.97862
0.1	0.05	1100.0	0.0	0.6	1.921875	-87.95013
0.1	0.05	1100.0	0.0	0.6	1.9375	-87.916916
0.1	0.05	1100.0	0.0	0.6	1.953125	-87.879105
0.1	0.05	1100.0	0.0	0.6	1.96875	-87.8368
0.1	0.05	1100.0	0.0	0.6	1.984375	-85.75912
0.1	0.05	1100.0	0.0	0.6	2.0	-68.62613
0.1	0.05	1100.0	0.0	0.6	2.015625	-47.188297
0.1	0.05	1100.0	0.0	0.6	2.03125	-27.062805
0.1	0.05	1100.0	0.0	0.6	2.046875	-11.56897
0.1	0.05	1100.0	0.0	0.6	2.0625	-6.7037506
0.1	0.05	1100.0	0.0	0.6	2.078125	-7.216049
0.1	0.05	1100.0	0.0	0.6	2.09375	-8.080391
0.1	0.05	1100.0	0.0	0.6	2.109375	-9.266006
0.1	0.05	1100.0	0.0	0.6	2.125	-10.737556
0.1	0.05	1100.0	0.0	0.6	2.140625	-11.998344
0.1	0.05	1100.0	0.0	0.6	2.15625	-11.683075
0.1	0.05	1100.0	0.0	0.6	2.171875	-11.754379
0.1	0.05	1100.0	0.0	0.6	2.1875	-12.192429
0.1	0.05	1100.0	0.0	0.6	2.203125	-12.967751
0.1	0.05	1100.0	0.0	0.6	2.21875	-14.045509
0.1	0.05	1100.0	0.0	0.6	2.234375	-17.59742
0.1	0.05	1100.0	0.0	0.6	2.25	-29.019943
0.1	0.05	1100.0	0.0	0.6	2.28125	-50.527157
0.1	0.05	1100.0	0.0	0.6	2.3125	-61.583973
0.1	0.05	1100.0	0.0	0.6	2.34375	-67.14743
0.1	0.05	1100.0	0.0	0.6	2.375	-70.32921
0.1	0.05	1100.0	0.0	0.6	2.40625	-72.36989
0.1	0.05	1100.0	0.0	0.6	2.4375	-73.79561
0.1	0.05	1100.0	0.0	0.6	2.5	-75.67866
0.1	0.05	1100.0	0.0	0.615625	1.5	-84.473206
0.1	0.05	1100.0	0.0	0.615625	1.515625	-85.32756
0.1	0.05	1100.0	0.0	0.615625	1.53125	-85.494705
0.1	0.05	1100.0	0.0	0.615625	1.546875	-85.65952
0.1	0.05	1100.0	0.0	0.615625	1.5625	-85.820885
0.1	0.05	1100.0	0.0	0.615625	1.578125	-86.42282
0.1	0.05	1100.0	0.0	0.615625	1.59375	-86.54967
0.1	0.05	1100.0	0.0	0.615625	1.609375	-86.67067
0.1	0.05	1100.0	0.0	0.615625	1.625	-86.78505
0.1	0.05	1100.0	0.0	0.615625	1.640625	-86.89201
0.1	0.05	1100.0	0.0	0.615625	1.65625	-86.99088
0.1	0.05	1100.0	0.0	0.615625	1.671875	-87.08158
0.1	0.05	1100.0	0.0	0.615625	1.6875	-87.16363
0.1	0.05	1100.0	0.0	0.615625	1.703125	-87.23736
0.1	0.05	1100.0	0.0	0.615625	1.71875	-87.592
0.1	0.05	1100.0	0.0	0.615625	1.734375	-87.64196
0.1	0.05	1100.0	0.0	0.615625	1.75	-87.6852
0.1	0.05	1100.0	0.0	0.615625	1.765625	-87.72179
0.1	0.05	1100.0	0.0	0.615625	1.78125	-87.7523
0.1	0.05	1100.0	0.0	0.615625	1.796875	-87.77693
0.1	0.05	1100.0	0.0	0.615625	1.8125	-87.795784
0.1	0.05	1100.0	0.0	0.615625	1.828125	-87.80904
0.1	0.05	1100.0	0.0	0.615625	1.84375	-87.817184
0.1	0.05	1100.0	0.0	0.615625	1.859375	-87.82022
0.1	0.05	1100.0	0.0	0.615625	1.875	-87.91863
0.1	0.05	1100.0	0.0	0.615625	1.890625	-88.03809
0.1	0.05	1100.0	0.0	0.615625	1.90625	-88.02417
0.1	0.05	1100.0	0.0	0.615625	1.921875	-88.00599
0.1	0.05	1100.0	0.0	0.615625	1.9375	-87.9833
0.1	0.05	1100.0	0.0	0.615625	1.953125	-87.956375
0.1	0.05	1100.0	0.0	0.615625	1.96875	-87.9252
0.1	0.05	1100.0	0.0	0.615625	1.984375	-87.889824
0.1	0.05	1100.0	0.0	0.615625	2.015625	-88.01227
0.1	0.05	1100.0	0.0	0.615625	2.03125	-87.962776
0.1	0.05	1100.0	0.0	0.615625	2.046875	-77.58959
0.1	0.05	1100.0	0.0	0.615625	2.0625	-57.418076
0.1	0.05	1100.0	0.0	0.615625	2.078125	-36.611893
0.1	0.05	1100.0	0.0	0.615625	2.09375	-18.518585
0.1	0.05	1100.0	0.0	0.615625	2.109375	-7.225952
0.1	0.05	1100.0	0.0	0.615625	2.125	-9.083443
0.1	0.05	1100.0	0.0	0.615625	2.140625	-8.468475
0.1	0.05	1100.0	0.0	0.615625	2.15625	-8.226921
0.1	0.05	1100.0	0.0	0.615625	2.171875	-8.515213
0.1	0.05	1100.0	0.0	0.615625	2.1875	-9.296059
0.1	0.05	1100.0	0.0	0.615625	2.203125	-10.519951
0.1	0.05	1100.0	0.0	0.615625	2.21875	-12.130669
0.1	0.05	1100.0	0.0	0.615625	2.234375	-12.8741
0.1	0.05	1100.0	0.0	0.615625	2.25	-12.635124
0.1	0.05	1100.0	0.0	0.615625	2.265625	-12.881241
0.1	0.05	1100.0	0.0	0.615625	2.28125	-13.575615
0.1	0.05	1100.0	0.0	0.615625	2.296875	-18.876663
0.1	0.05	1100.0	0.0	0.615625	2.3125	-30.720901
0.1	0.05	1100.0	0.0	0.615625	2.328125	-42.4341
0.1	0.05	1100.0	0.0	0.615625	2.34375	-51.296074
0.1	0.05	1100.0	0.0	0.615625	2.359375	-57.49374
0.1	0.05	1100.0	0.0	0.615625	2.375	-61.816677
0.1	0.05	1100.0	0.0	0.615625	2.390625	-64.90764
0.1	0.05	1100.0	0.0	0.615625	2.40625	-67.19171
0.1	0.05	1100.0	0.0	0.615625	2.421875	-68.93433
0.1	0.05	1100.0	0.0	0.615625	2.4375	-70.30315
0.1	0.05	1100.0	0.0	0.615625	2.453125	-71.40687
0.1	0.05	1100.0	0.0	0.615625	2.484375	-73.077866
0.1	0.05	1100.0	0.0	0.615625	2.5	-73.72805
0.1	0.05	1100.0	0.0	0.63125	1.5	-83.48673
0.1	0.05	1100.0	0.0	0.63125	1.515625	-83.71787
0.1	0.05	1100.0	0.0	0.63125	1.53125	-84.72407
0.1	0.05	1100.0	0.0	0.63125	1.546875	-84.897766
0.1	0.05	1100.0	0.0	0.63125	1.5625	-85.07193
0.1	0.05	1100.0	0.0	0.63125	1.578125	-85.79548
0.1	0.05	1100.0	0.0	0.63125	1.59375	-85.93346
0.1	0.05	1100.0	0.0	0.63125	1.609375	-86.06943
0.1	0.05	1100.0	0.0	0.63125	1.625	-86.20179
0.1	0.05	1100.0	0.0	0.63125	1.640625	-86.69363
0.1	0.05	1100.0	0.0	0.63125	1.65625	-86.835434
0.1	0.05	1100.0	0.0	0.63125	1.671875	-86.93265
0.1	0.05	1100.0	0.0	0.63125	1.6875	-87.02344
