environment.name, environment.size, iteration, instances, primary, secondary
dist, 1, 1, 1, 5, 4
dist, 1, 2, 1, 12, 13
dist, 1, 3, 2, 40, 58
dist, 1, 4, 8, 144, 243
dist, 1, 5, 29, 510, 924
dist, 1, 6, 87, 1456, 3034
dist, 1, 7, 186, 2959, 6398
dist, 1, 8, 430, 6835, 14932
dist, 1, 9, 1025, 16664, 36440
dist, 1, 10, 2586, 42330, 92881
dist, 16, 1, 1, 5, 4
dist, 16, 2, 1, 12, 13
dist, 16, 3, 2, 40, 58
dist, 16, 4, 8, 144, 243
dist, 16, 5, 29, 510, 924
dist, 16, 6, 87, 1456, 3034
dist, 16, 7, 186, 2959, 6398
dist, 16, 8, 430, 6835, 14931
dist, 16, 9, 1025, 16663, 36439
dist, 16, 10, 2586, 42328, 92876
dist, 2, 1, 1, 5, 4
dist, 2, 2, 1, 12, 13
dist, 2, 3, 2, 40, 58
dist, 2, 4, 8, 144, 243
dist, 2, 5, 29, 510, 924
dist, 2, 6, 87, 1456, 3034
dist, 2, 7, 186, 2959, 6398
dist, 2, 8, 430, 6835, 14932
dist, 2, 9, 1025, 16664, 36440
dist, 2, 10, 2586, 42330, 92881
dist, 4, 1, 1, 5, 4
dist, 4, 2, 1, 12, 13
dist, 4, 3, 2, 40, 58
dist, 4, 4, 8, 144, 243
dist, 4, 5, 29, 510, 924
dist, 4, 6, 87, 1456, 3034
dist, 4, 7, 186, 2959, 6398
dist, 4, 8, 430, 6835, 14932
dist, 4, 9, 1025, 16664, 36440
dist, 4, 10, 2586, 42330, 92881
dist, 8, 1, 1, 5, 4
dist, 8, 2, 1, 12, 13
dist, 8, 3, 2, 40, 58
dist, 8, 4, 8, 144, 243
dist, 8, 5, 29, 510, 924
dist, 8, 6, 87, 1456, 3034
dist, 8, 7, 186, 2959, 6398
dist, 8, 8, 430, 6835, 14932
dist, 8, 9, 1025, 16664, 36440
dist, 8, 10, 2586, 42330, 92881
