environment.name, environment.size, iteration, instances, primary, secondary
dist, 1, 1, 1, 5, 4
dist, 1, 2, 1, 12, 13
dist, 1, 3, 2, 40, 58
dist, 1, 4, 8, 144, 243
dist, 1, 5, 29, 510, 924
dist, 1, 6, 87, 1456, 3034
dist, 1, 7, 186, 2959, 6398
dist, 1, 8, 430, 6835, 14932
dist, 16, 1, 1, 5, 4
dist, 16, 2, 1, 12, 13
dist, 16, 3, 2, 40, 58
dist, 16, 4, 8, 144, 243
dist, 16, 5, 29, 510, 924
dist, 16, 6, 87, 1456, 3034
dist, 16, 7, 186, 2959, 6398
dist, 16, 8, 430, 6835, 14932
dist, 2, 1, 1, 5, 4
dist, 2, 2, 1, 12, 13
dist, 2, 3, 2, 40, 58
dist, 2, 4, 8, 144, 243
dist, 2, 5, 29, 510, 924
dist, 2, 6, 87, 1456, 3034
dist, 2, 7, 186, 2959, 6398
dist, 2, 8, 430, 6835, 14932
dist, 4, 1, 1, 5, 4
dist, 4, 2, 1, 12, 13
dist, 4, 3, 2, 40, 58
dist, 4, 4, 8, 144, 243
dist, 4, 5, 29, 510, 924
dist, 4, 6, 87, 1456, 3034
dist, 4, 7, 186, 2959, 6398
dist, 4, 8, 430, 6835, 14932
dist, 8, 1, 1, 5, 4
dist, 8, 2, 1, 12, 13
dist, 8, 3, 2, 40, 58
dist, 8, 4, 8, 144, 243
dist, 8, 5, 29, 510, 924
dist, 8, 6, 87, 1456, 3034
dist, 8, 7, 186, 2959, 6398
dist, 8, 8, 430, 6835, 14932
shared, 1, 1, 1, 5, 4
shared, 1, 2, 1, 12, 13
shared, 1, 3, 2, 40, 58
shared, 1, 4, 8, 144, 243
shared, 1, 5, 16, 510, 816
shared, 1, 6, 32, 1456, 2642
shared, 1, 7, 51, 2959, 5463
shared, 1, 8, 85, 6835, 12370
shared, 2, 1, 1, 5, 4
shared, 2, 2, 1, 12, 13
shared, 2, 3, 2, 40, 58
shared, 2, 4, 8, 144, 243
shared, 2, 5, 16, 510, 816
shared, 2, 6, 32, 1456, 2642
shared, 2, 7, 51, 2959, 5463
shared, 2, 8, 85, 6835, 12370
shared, 4, 1, 1, 5, 4
shared, 4, 2, 1, 12, 13
shared, 4, 3, 2, 40, 58
shared, 4, 4, 8, 144, 243
shared, 4, 5, 16, 510, 816
shared, 4, 6, 32, 1456, 2642
shared, 4, 7, 51, 2959, 5463
shared, 4, 8, 85, 6835, 12370
shared, 8, 1, 1, 5, 4
shared, 8, 2, 1, 12, 13
shared, 8, 3, 2, 40, 58
shared, 8, 4, 8, 144, 243
shared, 8, 5, 16, 510, 816
shared, 8, 6, 32, 1456, 2642
shared, 8, 7, 51, 2959, 5463
shared, 8, 8, 85, 6835, 12370
