environment.name, environment.size, iteration, instances, primary, secondary
dist, 1, 1, 1, 5, 4
dist, 1, 2, 1, 12, 13
dist, 1, 3, 2, 40, 58
dist, 1, 4, 8, 144, 243
dist, 1, 5, 30, 544, 938
dist, 1, 6, 114, 2049, 3679
dist, 1, 7, 434, 7779, 14326
dist, 1, 8, 1623, 28949, 54059
dist, 16, 1, 1, 5, 4
dist, 16, 2, 1, 12, 13
dist, 16, 3, 2, 40, 58
dist, 16, 4, 8, 144, 243
dist, 16, 5, 30, 544, 938
dist, 16, 6, 114, 2049, 3679
dist, 16, 7, 434, 7779, 14326
dist, 16, 8, 1623, 28949, 54059
dist, 2, 1, 1, 5, 4
dist, 2, 2, 1, 12, 13
dist, 2, 3, 2, 40, 58
dist, 2, 4, 8, 144, 243
dist, 2, 5, 30, 544, 938
dist, 2, 6, 114, 2049, 3679
dist, 2, 7, 434, 7779, 14326
dist, 2, 8, 1623, 28949, 54059
dist, 4, 1, 1, 5, 4
dist, 4, 2, 1, 12, 13
dist, 4, 3, 2, 40, 58
dist, 4, 4, 8, 144, 243
dist, 4, 5, 30, 544, 938
dist, 4, 6, 114, 2049, 3679
dist, 4, 7, 434, 7779, 14326
dist, 4, 8, 1623, 28949, 54059
dist, 8, 1, 1, 5, 4
dist, 8, 2, 1, 12, 13
dist, 8, 3, 2, 40, 58
dist, 8, 4, 8, 144, 243
dist, 8, 5, 30, 544, 938
dist, 8, 6, 114, 2049, 3679
dist, 8, 7, 434, 7779, 14326
dist, 8, 8, 1623, 28949, 54059
shared, 1, 1, 1, 5, 4
shared, 1, 2, 1, 12, 13
shared, 1, 3, 2, 40, 58
shared, 1, 4, 8, 144, 243
shared, 1, 5, 16, 544, 814
shared, 1, 6, 32, 2049, 2913
shared, 1, 7, 64, 7779, 10473
shared, 1, 8, 128, 28949, 37795
shared, 2, 1, 1, 5, 4
shared, 2, 2, 1, 12, 13
shared, 2, 3, 2, 40, 58
shared, 2, 4, 8, 144, 243
shared, 2, 5, 16, 544, 814
shared, 2, 6, 32, 2049, 2913
shared, 2, 7, 64, 7779, 10473
shared, 2, 8, 128, 28949, 37795
shared, 4, 1, 1, 5, 4
shared, 4, 2, 1, 12, 13
shared, 4, 3, 2, 40, 58
shared, 4, 4, 8, 144, 243
shared, 4, 5, 16, 544, 814
shared, 4, 6, 32, 2049, 2913
shared, 4, 7, 64, 7779, 10473
shared, 4, 8, 128, 28949, 37795
shared, 8, 1, 1, 5, 4
shared, 8, 2, 1, 12, 13
shared, 8, 3, 2, 40, 58
shared, 8, 4, 8, 144, 243
shared, 8, 5, 16, 544, 814
shared, 8, 6, 32, 2049, 2913
shared, 8, 7, 64, 7779, 10473
shared, 8, 8, 128, 28949, 37795
